energy_segment,household_size,number_of_rooms,daily_supply_hours,light_bulb_count,fan_count,television_count,fridge_count,ac_count,average_ac_usage_hours,estimated_monthly_kwh
Appliance-Heavy High Consumption,7.083606557377049,5.168852459016393,12.680327868852459,9.052459016393442,3.2885245901639344,1.455737704918033,1.0,0.0,0.0,99.57312090163934
Cooling-Heavy High Consumption,5.44,5.485,12.415,10.04,3.47,1.68,0.965,1.0,4.0,175.17499375
High Consumption Household,8.344444444444445,5.788888888888889,17.322222222222223,8.455555555555556,2.911111111111111,1.1888888888888889,0.0,0.0,0.0,83.95980555555556
Low-Use Basic Household,7.46970539188438,4.626459143968872,4.171762090050028,5.229016120066704,0.8827126181211784,0.3629794330183435,0.08337965536409116,0.0,0.0,6.4951389660922745
Moderate Consumption Household,5.654471544715447,4.1971544715447155,8.333333333333334,5.912601626016261,1.3882113821138211,0.8922764227642277,0.6158536585365854,0.01016260162601626,0.04065040650406504,30.404408028455286
Moderate Fan-Heavy Household,7.227941176470588,5.053921568627451,5.0318627450980395,9.188725490196079,3.8112745098039214,1.2843137254901962,0.7303921568627451,0.007352941176470588,0.029411764705882353,33.04125612745098
